iter	TotalF1	MultiClass
615	1	0.05790783844
616	1	0.05782835747
617	1	0.05773167394
618	1	0.05764314076
619	1	0.05755911754
620	1	0.05746178361
621	1	0.05733607264
622	1	0.05724182234
623	1	0.05715127369
624	1	0.05705663677
625	1	0.05696529547
626	1	0.05687091013
627	1	0.05677283968
628	1	0.05667124155
629	1	0.05658707313
630	1	0.05650242939
631	1	0.05639611333
632	1	0.05629605778
633	1	0.05619214776
634	1	0.05609133784
635	1	0.05598049075
636	1	0.05588765781
637	1	0.05580202893
638	1	0.05570443505
639	1	0.05560456392
640	1	0.05551645267
641	1	0.05544113332
642	1	0.05532785433
643	1	0.05522429775
644	1	0.05513012412
645	1	0.05502946246
646	1	0.05493664845
647	1	0.05483728581
648	1	0.05476273256
649	1	0.05467743163
650	1	0.05456285058
651	1	0.05447718
652	1	0.05437066919
653	1	0.05428419492
654	1	0.05419063985
655	1	0.05409169596
656	1	0.05396435022
657	1	0.05388767845
658	1	0.05376656005
659	1	0.05364798982
660	1	0.0535649462
661	1	0.05348386527
662	1	0.05338076638
663	1	0.05328916468
664	1	0.05319744544
665	1	0.0531059639
666	1	0.053017972
667	1	0.05288477105
668	1	0.05279078124
669	1	0.05272289844
670	1	0.05261151048
671	1	0.05253476793
672	1	0.05246274122
673	1	0.05238030916
674	1	0.05230252125
675	1	0.05223332334
676	1	0.05214410858
677	1	0.05202617756
678	1	0.05192637621
679	1	0.05182240888
680	1	0.05170055493
681	1	0.05161936496
682	1	0.05152117161
683	1	0.05141118181
684	1	0.05132261434
685	1	0.05123813632
686	1	0.05116407624
687	1	0.05106520643
688	1	0.0509700878
689	1	0.05089930155
690	1	0.05081950024
691	1	0.05074721532
692	1	0.05066932627
693	1	0.05058648646
694	1	0.05050988037
695	1	0.05043212359
696	1	0.05035550843
697	1	0.05027207193
698	1	0.05020531554
699	1	0.05013742935
700	1	0.05006009017
701	1	0.04997147527
702	1	0.04989498499
703	1	0.04981393498
704	1	0.04975265477
705	1	0.04967216285
706	1	0.04960185277
707	1	0.04953522147
708	1	0.04948485949
709	1	0.04941380204
710	1	0.04933635049
711	1	0.04926662598
712	1	0.04915268443
713	1	0.04907129083
714	1	0.04898095218
715	1	0.04889987297
716	1	0.04882218348
717	1	0.04874546327
718	1	0.04868502686
719	1	0.04862070572
720	1	0.04855758053
721	1	0.04848145721
722	1	0.04842307272
723	1	0.04835622188
724	1	0.04827813488
725	1	0.04819828687
726	1	0.04812628563
727	1	0.04808022207
728	1	0.04801559263
729	1	0.04794435691
730	1	0.0478755858
731	1	0.04779985903
732	1	0.04772274767
733	1	0.04765590362
734	1	0.04758569712
735	1	0.04749242962
736	1	0.04741471215
737	1	0.04734064351
738	1	0.04725710865
739	1	0.04718641557
740	1	0.04710751536
741	1	0.0470359174
742	1	0.04697529047
743	1	0.0469181582
744	1	0.04684892703
745	1	0.04678968013
746	1	0.04673149831
747	1	0.04666266616
748	1	0.04659985876
749	1	0.04653084247
750	1	0.04646908151
751	1	0.04639960672
752	1	0.04632247013
753	1	0.04625306772
754	1	0.04619016941
755	1	0.04613447074
756	1	0.04606680081
757	1	0.0460018184
758	1	0.04594641099
759	1	0.04587191853
760	1	0.0457735664
761	1	0.04571523022
762	1	0.04565923514
763	1	0.0456064617
764	1	0.04553915369
765	1	0.04547153458
766	1	0.04538858654
767	1	0.0453130657
768	1	0.04524977019
769	1	0.04516792385
770	1	0.0451009705
771	1	0.04502948016
772	1	0.04496406593
773	1	0.04489200658
774	1	0.04482428735
775	1	0.04476667553
776	1	0.04471858519
777	1	0.0446429895
778	1	0.04458240788
779	1	0.04452613836
780	1	0.04446491671
781	1	0.04439827687
782	1	0.04434673374
783	1	0.0442918805
784	1	0.04424084777
785	1	0.04417958772
786	1	0.04413084173
787	1	0.04406424051
788	1	0.04399576528
789	1	0.04393872045
790	1	0.04386365439
791	1	0.04379017356
792	1	0.0437256722
793	1	0.0436528279
794	1	0.04360566967
795	1	0.04352671385
796	1	0.04344911802
797	1	0.04339716631
798	1	0.04335317595
799	1	0.04328573513
800	1	0.04321611195
801	1	0.04314574751
802	1	0.04308855964
803	1	0.04302331708
804	1	0.04296642219
805	1	0.04291365103
806	1	0.04286532206
807	1	0.04280020794
808	1	0.04274611286
809	1	0.04268133072
810	1	0.04261644745
811	1	0.04255279129
812	1	0.04249982114
813	1	0.04244017003
814	1	0.04238011884
815	1	0.04233138061
816	1	0.04227857194
817	1	0.04220104968
818	1	0.04215350558
819	1	0.04209306836
820	1	0.04202781299
821	1	0.04196727926
822	1	0.04192354322
823	1	0.04186632223
824	1	0.04182378061
825	1	0.04177804611
826	1	0.04172631565
827	1	0.04166919569
828	1	0.04162153911
829	1	0.04156664165
830	1	0.04151406789
831	1	0.04146097259
832	1	0.04141176109
833	1	0.04136064576
834	1	0.04130115172
835	1	0.04123929679
836	1	0.04117710593
837	1	0.04112651366
838	1	0.04105438074
839	1	0.04099106074
840	1	0.0409238221
841	1	0.04087041804
842	1	0.04080155711
843	1	0.04075548367
844	1	0.04069945857
845	1	0.040637128
846	1	0.04058147548
847	1	0.04052691084
848	1	0.04048759571
849	1	0.04043461892
850	1	0.04038187821
851	1	0.04033037724
852	1	0.04027941916
853	1	0.04021964239
854	1	0.0401695872
855	1	0.04011683759
856	1	0.0400721779
857	1	0.04001312467
858	1	0.03995352624
859	1	0.03989916979
860	1	0.03984455352
861	1	0.03979630503
862	1	0.03975191703
863	1	0.03969884727
864	1	0.03964192277
865	1	0.0395794959
866	1	0.03951827538
867	1	0.03945912491
868	1	0.03940029101
869	1	0.03933730638
870	1	0.03928222758
871	1	0.03922085743
872	1	0.0391518265
873	1	0.03910055527
874	1	0.03905437491
875	1	0.03901166106
876	1	0.03896475683
877	1	0.03890743736
878	1	0.03886271475
879	1	0.0388133978
880	1	0.03874919751
881	1	0.03870376906
882	1	0.03865308598
883	1	0.03860587809
884	1	0.03856280012
885	1	0.03851895552
886	1	0.03847881062
887	1	0.03843191371
888	1	0.03839057569
889	1	0.03834743817
890	1	0.03829739831
891	1	0.03824504858
892	1	0.03819120631
893	1	0.03814739309
894	1	0.03809678904
895	1	0.03805105748
896	1	0.03799834213
897	1	0.03795108694
898	1	0.03790589463
899	1	0.03784366033
900	1	0.03779987731
901	1	0.03775326337
902	1	0.03770734267
903	1	0.03764797089
904	1	0.03760458599
905	1	0.03755948466
906	1	0.03751977803
907	1	0.03746180811
908	1	0.03740552885
909	1	0.03735148584
910	1	0.03731854739
911	1	0.03727279443
912	1	0.03722272349
913	1	0.03716498061
914	1	0.03711262361
915	1	0.03707025289
916	1	0.03702565772
917	1	0.03697897312
918	1	0.03694330648
919	1	0.03689991616
920	1	0.03686280308
921	1	0.03681558762
922	1	0.03676991509
923	1	0.03672964183
924	1	0.0366809871
925	1	0.03663417689
926	1	0.03659325898
927	1	0.03654764637
928	1	0.03650942297
929	1	0.03647212158
930	1	0.03642900913
931	1	0.03637833913
932	1	0.03633853496
933	1	0.03629843789
934	1	0.03625588178
935	1	0.03620410765
936	1	0.03614913824
937	1	0.0361009745
938	1	0.03605523801
939	1	0.03601516494
940	1	0.03597504107
941	1	0.03593830861
942	1	0.03589490035
943	1	0.03585489518
944	1	0.03582351751
945	1	0.03578260892
946	1	0.03574412708
947	1	0.03569160845
948	1	0.03565265036
949	1	0.03561137664
950	1	0.03557316606
951	1	0.03552834006
952	1	0.03548754222
953	1	0.03542769799
954	1	0.03539524863
955	1	0.03534889345
956	1	0.03530775413
957	1	0.03526187521
958	1	0.03522300155
959	1	0.03517769565
960	1	0.03513784729
961	1	0.03508724673
962	1	0.03503369015
963	1	0.03498759397
964	1	0.03494648801
965	1	0.03489688467
966	1	0.03485227296
967	1	0.03482072149
968	1	0.03478102073
969	1	0.03474820833
970	1	0.0347218008
971	1	0.0346726556
972	1	0.03461572701
973	1	0.03457564316
974	1	0.03453486076
975	1	0.03447932871
976	1	0.03443107671
977	1	0.03439957306
978	1	0.03434665066
979	1	0.03429912874
980	1	0.0342665392
981	1	0.03423749936
982	1	0.03419550632
983	1	0.03415907044
984	1	0.0341197611
985	1	0.034082626
986	1	0.03404910299
987	1	0.03400650532
988	1	0.03397098978
989	1	0.03393501291
990	1	0.03389205625
991	1	0.03385326575
992	1	0.03381366115
993	1	0.03377904533
994	1	0.03373660139
995	1	0.03370009883
996	1	0.03366168608
997	1	0.03362621702
998	1	0.0335905606
999	1	0.03356295833
